BE0075,R-CORREA TPO R18(2.0)/FGO(D.R)
CO0038,R-ESTOPERA EJE MANDO R5/R12/R18/CORC
E4024,.R-TERMINAL DER. TWINGO
FT4981,.R-BUJIAS ORIG.TWINGO.
FT6437,F-B.GAS ELECT (pila)
FT6497,F-VALVULA P/ACEITE R5/R12/R18/FGO
FT6852,F-SILICON GRIS
FT6895,F-BUJIAS MG/TW2/SC2/CL2/SYM/R19E/LOG/CL9
FT8543,R-B.GAS ELECT (pila)
FT9599,..F-B.GASOL. PAL FIRE/PAL 1.8
MG1280,R-SOPORTE G/CLOCHE FUEGO
R-1506,R-CORREA A/A R11
R0002,R-TAMBOR FRE.TRAS. CLIO/MEG
R0003,R-MANGUERA RAD INF MG1(siNc)/SC2(1.6)
R0006,.R-MANGUERA RAD.SUP. SY/CL 1.4 8--V
R1229,R-TRIPOIDE IZQ MG1(siNc)
R1285,R-FARO DEL.IZQ SC2
R1500,R-AMORT DEL R11/GALA/R19
R1550,R-BASE CAJA CENTRAL MG1/SYM/CL2/SC2/KG(e
R1560,.R-AMORT TRAS LOG
R1569,R-G/BARRO POST.DEL.IZQ KG
R1614,R-GRADUAC.FRE.IZQ GALA/CL INY
R1800,R-AMORT TRAS R21
R1905,.R-MOZZO TRAS. SCENIC
R2003,.R-V.ADM.(UNI) MG1/SYM2 1.6 (16/V)
R2005,R-V.ESC.(UNI) MG1/SYM2/CL/SC2
R2072,.R-E.TAPA VALV TW2.(8-V)
R2161,.R-BIELETA B/ESTAB SCENI/KAGOO
R2165,.R-BIELETA B/ESTAB. CLIO 3.
R2265,R-JGO ORING CPO ACEL MG1/CL2/SYM2/SC2(1.
R2300,R-ROL DEL R11/CL1/SYM1/TW
R2369,R-KIT DISTRIBUIDOR R5/11/12 (T/PLAT)
R2442,R-MANILLA PTA.INT.IZQ SYM/CL2
R2500,R-G/BARRO POST.DEL.DER MG2
R2518,R-RELE LUZ CRUCE TW/CL
R2519,R-G/POLVO AMORT DEL LOG/CL/SYM/MG/KG
R2550,R-ROL DEL R18(2.0)/FGO/R21
R2563,R-MANGUERA RAD SUP GALA
R2568,R-E.MOT MG1/SYM2/CL2/SC2(1.6)/KG(1.6)
R3056,R-BOBINA ENC MG/SYM2/CL2/SC2(1.6)/KG(1.6
R3256,R-G/BARRO POST.DEL.DER SYM 01-02
R3295,R-REFUERZO VIGA PARACH. DEL.LOGAN
R3636,R-FARO DEL.DER SC2
R3819,.R-E.VENT MG/SYM/SC/CL2/KG/LOG GATES C/B
R4036,R-CORREA ALT TW2
R4444,R-VALVULA STOP MG2
R451,R-EMBLEMA CAPO CLIO-93/96. TW 2000
R4568,R-KIT GOMA TRIP. L/R B/FINA MEG
R4587,R-G/BARRO POST.DEL.IZQ SYM 01-02
R5066,R-TENSOR C/TPO. R19-E/CL1/TW2 8/V
R5463,R-G/BARRO ANT.DEL.IZQ SYM 01-02
R562,R-SILICON REINZOSIL
R566,R-TEE AMORT R12/R18(larga)
